epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3415,1.89679,8.39143,1.92208,0.00067,0.84615,0.01791,0.0077,0.92004,94.5799,1.09749,0.00026,0.00026,0.00026
2,150.919,1.49696,5.11485,1.71216,0.00067,0.84615,0.20761,0.06117,0.89913,95.9894,1.05507,0.000529308,0.000529308,0.000529308
3,234.617,1.50991,5.40128,1.81483,0.00073,0.92308,0.29642,0.07593,1.15701,95.0206,1.6716,0.000787528,0.000787528,0.000787528
4,324.405,1.92885,5.38821,1.97326,0.05079,0.23077,0.03147,0.00762,1.32145,99.0077,1.74806,0.00103466,0.00103466,0.00103466
5,415.782,1.80252,5.69715,1.83449,0.03683,0.23077,0.01669,0.0057,1.19465,121.638,2.03119,0.0012707,0.0012707,0.0012707
6,488.815,1.84481,5.17733,2.08419,0.00144,0.07692,0.00108,0.00018,1.77693,119.498,3.08365,0.00149566,0.00149566,0.00149566
7,563.131,2.23534,5.30272,2.19388,0.04666,0.07692,0.0356,0.00713,1.50392,140.299,3.72292,0.00170953,0.00170953,0.00170953
8,637.881,2.0819,4.59829,2.17831,0.00341,0.30769,0.00283,0.00048,1.72791,143.229,3.27739,0.0017228,0.0017228,0.0017228
9,713.223,2.24317,4.62872,2.32422,0.10222,0.15385,0.04969,0.00825,1.64831,97.5098,3.67358,0.0016832,0.0016832,0.0016832
10,788.603,2.08469,5.85028,2.06523,0.03478,0.07692,0.00957,0.00301,2.02513,57.3073,4.80999,0.0016436,0.0016436,0.0016436
11,882.545,2.01621,4.06709,1.99985,0.1597,0.53846,0.12326,0.03849,1.1151,116.552,1.57079,0.001604,0.001604,0.001604
12,962.628,1.79711,3.59503,1.96873,0.00891,0.23077,0.00972,0.00293,1.51613,981.623,1.92385,0.0015644,0.0015644,0.0015644
13,1043.91,2.05029,3.88885,2.14225,0.0033,0.38462,0.00246,0.00061,1.54717,300.321,1.781,0.0015248,0.0015248,0.0015248
14,1124.29,2.00863,5.85633,2.03576,0.08321,0.15385,0.02165,0.0066,1.50568,30.2878,1.74048,0.0014852,0.0014852,0.0014852
15,1206.92,2.03804,3.90836,2.14645,0.41087,0.15385,0.16272,0.04764,1.30265,134.02,1.43215,0.0014456,0.0014456,0.0014456
16,1282.36,1.99977,2.98069,2.02894,0.55846,0.23077,0.28172,0.08318,1.09493,47.3462,1.21403,0.001406,0.001406,0.001406
17,1358.29,2.01704,3.01657,1.96649,0.0777,0.38462,0.04464,0.01723,1.26146,46.8753,1.24468,0.0013664,0.0013664,0.0013664
18,1434.69,2.01076,2.86422,2.03641,0.12348,0.38462,0.10418,0.02607,1.13001,29.6979,1.18996,0.0013268,0.0013268,0.0013268
19,1510.1,1.82421,2.58222,1.82548,0.42859,0.15385,0.12099,0.04423,1.33855,17.3722,1.35072,0.0012872,0.0012872,0.0012872
20,1588.14,1.76537,2.61452,1.79817,0.33955,0.53846,0.25361,0.06091,1.24023,16.743,1.22218,0.0012476,0.0012476,0.0012476
21,1665.51,1.86678,2.63005,1.80693,0.28124,0.46154,0.28868,0.07092,1.16208,20.4814,1.40556,0.001208,0.001208,0.001208
22,1743.39,1.86085,2.6547,1.83432,0.49295,0.46154,0.35621,0.07101,1.1888,25.9043,1.33499,0.0011684,0.0011684,0.0011684
23,1820.14,1.61298,2.27289,1.70984,0.27061,0.30769,0.23697,0.04818,1.26193,46.1394,1.35285,0.0011288,0.0011288,0.0011288
24,1897.66,1.71007,2.19256,1.72607,0.23414,0.30769,0.1436,0.05026,1.16905,101.015,1.20095,0.0010892,0.0010892,0.0010892
25,1973.01,1.58978,2.02421,1.65413,0.56341,0.53846,0.36905,0.11293,1.05041,21.0962,1.10411,0.0010496,0.0010496,0.0010496
26,2048.42,1.56806,1.99333,1.70424,0.68673,0.50785,0.47592,0.21099,0.97108,10.6278,1.00587,0.00101,0.00101,0.00101
